2026-02-04 15:26:01,195 [INFO] Initializing APEX_PREDATOR_ENGINE...
2026-02-04 15:35:03,713 [INFO] Initializing APEX_PREDATOR_ENGINE...
2026-02-04 15:35:05,319 [INFO] Starting initialization sequence...
2026-02-04 15:35:05,353 [ERROR] Serial initialization error: could not open port 'COM3': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2026-02-04 15:35:05,353 [ERROR] Serial initialization failed
2026-02-04 15:36:08,031 [INFO] Initializing APEX_PREDATOR_ENGINE...
2026-02-04 15:36:08,560 [INFO] Starting initialization sequence...
2026-02-04 15:36:08,562 [ERROR] Serial initialization error: could not open port 'COM3': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2026-02-04 15:36:08,562 [ERROR] Serial initialization failed
2026-02-04 15:37:13,870 [INFO] Initializing APEX_PREDATOR_ENGINE...
2026-02-04 15:37:14,394 [INFO] Starting initialization sequence...
2026-02-04 15:37:14,394 [ERROR] Serial initialization error: could not open port 'COM3': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2026-02-04 15:37:14,396 [WARNING] Serial initialization failed - running in simulation mode
2026-02-04 15:37:19,333 [INFO] Waiting for hardware ready signal...
2026-02-04 15:37:29,367 [WARNING] Hardware ready timeout - continuing anyway
2026-02-04 15:37:52,855 [ERROR] Send command error: 'NoneType' object has no attribute 'write'
2026-02-04 15:37:54,860 [ERROR] Send command error: 'NoneType' object has no attribute 'write'
2026-02-04 15:37:56,818 [ERROR] Send command error: 'NoneType' object has no attribute 'write'
2026-02-04 15:37:56,818 [INFO] Switched to AUTO mode
2026-02-04 15:38:22,498 [INFO] Shutting down APEX_PREDATOR_ENGINE...
2026-02-20 00:36:57,876 [INFO] Initializing APEX_PREDATOR_ENGINE...
2026-02-20 00:36:59,173 [INFO] Starting initialization sequence...
2026-02-20 00:36:59,174 [ERROR] Serial initialization error: could not open port 'COM12': PermissionError(13, 'Access is denied.', None, 5)
2026-02-20 00:36:59,174 [WARNING] Serial initialization failed - running in simulation mode
2026-02-20 00:37:04,330 [INFO] Waiting for hardware ready signal...
2026-02-20 00:37:08,402 [ERROR] Send command error: 'NoneType' object has no attribute 'write'
2026-02-20 00:37:14,369 [WARNING] Hardware ready timeout - continuing anyway
2026-02-20 00:37:48,091 [ERROR] Send command error: 'NoneType' object has no attribute 'write'
2026-02-20 00:38:20,445 [ERROR] Send command error: 'NoneType' object has no attribute 'write'
2026-02-20 00:38:41,585 [ERROR] Send command error: 'NoneType' object has no attribute 'write'
2026-02-20 00:38:41,585 [WARNING] EMERGENCY STOP TRIGGERED
2026-02-20 00:38:49,962 [ERROR] Send command error: 'NoneType' object has no attribute 'write'
2026-02-20 00:38:53,758 [INFO] Shutting down APEX_PREDATOR_ENGINE...
2026-02-20 00:54:55,757 [INFO] Initializing APEX_PREDATOR_ENGINE...
2026-02-20 00:54:56,290 [INFO] Starting initialization sequence...
2026-02-20 00:55:04,180 [INFO] Waiting for hardware ready signal...
2026-02-20 00:55:14,221 [WARNING] Hardware ready timeout - continuing anyway
2026-02-20 00:55:59,349 [INFO] Switched to AUTO mode
2026-02-20 00:56:06,061 [INFO] Switched to MANUAL mode
2026-02-20 00:57:15,554 [INFO] Shutting down APEX_PREDATOR_ENGINE...
2026-02-20 00:57:16,061 [ERROR] Send command error: Attempting to use a port that is not open
2026-02-20 00:57:16,066 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,066 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,066 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,066 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,066 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,067 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,070 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,071 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,071 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,071 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,071 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,071 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,072 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,072 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,072 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,072 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,072 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,073 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,073 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,073 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,073 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,073 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,073 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,074 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,074 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,074 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
2026-02-20 00:57:16,074 [ERROR] Receive feedback error: ClearCommError failed (OSError(9, 'The handle is invalid.', None, 6))
